price,address,bds,ba,sqft,img
"Est. $1,030,584","1895 Pacific St, Brooklyn, NY 11233",5 bds,2 ba,N/A,https://photos.zillowstatic.com/fp/4790d622e3a6cb6c9e6461369e9ed5b1-zillow_web_48_23.jpg
"Est. $726,512","2553 Mcintosh St, Flushing, NY 11369",3 bds,2 ba,N/A,https://photos.zillowstatic.com/fp/4790d622e3a6cb6c9e6461369e9ed5b1-zillow_web_48_23.jpg
"Est. $1,336,498","1620 150th St, Flushing, NY 11357",6 bds,5 ba,"2,653 sqft",https://photos.zillowstatic.com/fp/4790d622e3a6cb6c9e6461369e9ed5b1-zillow_web_48_23.jpg
"Est. $986,626","299 Saratoga Ave, Brooklyn, NY 11233",2 bds,2 ba,N/A,https://photos.zillowstatic.com/fp/4790d622e3a6cb6c9e6461369e9ed5b1-zillow_web_48_23.jpg
"Est. $568,030","24 Cyrus Ave, Brooklyn, NY 11229",3 bds,2 ba,N/A,https://photos.zillowstatic.com/fp/4790d622e3a6cb6c9e6461369e9ed5b1-zillow_web_48_23.jpg
"Est. $2,057,787","672 Prospect Pl, Brooklyn, NY 11216",7 bds,3 ba,"2,950 sqft",https://photos.zillowstatic.com/fp/4790d622e3a6cb6c9e6461369e9ed5b1-zillow_web_48_23.jpg
"$925,000","668 Halsey St #4, Brooklyn, NY 11233",2 bds,3 ba,908 sqft,https://photos.zillowstatic.com/fp/f57e0cb45e3a3bec03f6093d4bec9555-p_e.jpg
"Est. $405,000","258 Legion St, Brooklyn, NY 11212",3 bds,2 ba,"1,116 sqft",https://photos.zillowstatic.com/fp/4790d622e3a6cb6c9e6461369e9ed5b1-zillow_web_48_23.jpg
"$745,000","321 W 55th St APT 24, New York, NY 10019",2 bds,1 ba,N/A,https://photos.zillowstatic.com/fp/1a13ab9c57b6190054f45e75c979da30-p_e.jpg
"$530,000","4-74 48th Ave #20K, Long Island City, NY 11109",1 bd,1 ba,699 sqft,N/A
"$449,990","165 W End Ave APT 10G, New York, NY 10023",Studio,1 ba,560 sqft,N/A
"Est. $647,530","1872 E 36th St, Brooklyn, NY 11234",2 bds,2 ba,924 sqft,N/A
"$679,000","105 W 77th St APT 5C, New York, NY 10024",1 bd,1 ba,429 sqft,N/A
"$5,400,000","6 W 20th St FLOOR 5, New York, NY 10011",5 bds,2 ba,"5,500 sqft",N/A
"$800,000","200 E 89th St APT 14F, New York, NY 10128",1 bd,1 ba,638 sqft,N/A
"$949,000","230 Jay St APT 8J, Brooklyn, NY 11201",2 bds,2 ba,900 sqft,N/A
"$1,950,000","43 5th Ave #1N, New York, NY 10003",1 bd,2 ba,"1,350 sqft",N/A
"Est. $486,171","309 Beach 70th St, Far Rockaway, NY 11692",4 bds,3 ba,"1,976 sqft",N/A
"Est. $1,606,524","1223 Jefferson Ave, Brooklyn, NY 11221",6 bds,5 ba,"2,700 sqft",N/A
"Est. $2,854,449","10 Little West St #29C, New York, NY 10280",3 bds,4 ba,"2,046 sqft",N/A
"$2,500,000","732 W End Ave APT 3, New York, NY 10025",3 bds,3 ba,"1,777 sqft",N/A
"$4,895,000","170 E 87th St, New York, NY 10128",4 bds,4 ba,"2,610 sqft",N/A
"$597,500","130 Lenox Ave APT 206, New York, NY 10026",2 bds,1 ba,N/A,N/A
"$595,000","34 Crooke Ave #2B, Brooklyn, NY 11226",1 bd,1 ba,758 sqft,N/A
